Player,Ave,SR,Mat,BF,performance_score
"Faheem Nazir (SUI)",54.2,151.39,18,537,38.33396874957168
"TH David (SGP)",46.5,158.52,14,352,32.217428570330256
"G Mckeon (Fran)",41.31,147,20,534,31.42423125
"K Kadowaki-Fleming (JPN)",42.14,154.45,31,764,30.281201612506873
"Muhammad Waseem (UAE)",40.66,155,55,1338,29.749213636030124
"S Davizi (CZK-R)",41.03,138.93,32,827,29.067757812500005
"Sami Sohail (MWI)",60.85,126.11,41,965,27.502499999002502
"Sohail Ahmed (BHR)",50.41,118.69,28,722,27.252276784959378
"A Johnson (CAN)",37.47,151.76,25,568,26.870659999999997
"Zeeshan Kukikhel (HUN)",34.8,165.18,15,316,26.33069999916675
"Taranjeet Singh (ROM)",36.23,167.48,32,649,25.821833984374997
"HAM Shah (DEN)",34.2,121.42,32,845,25.683378906250002
"Saim Hussain (BUL)",38.53,146.7,18,394,25.3404930545265
"M Levitt (NED)",36.66,145.11,17,379,25.327511029344937
"Muhammad Tanveer (QAT)",45.42,138.02,50,1086,24.901980000000002
"R Satheesan (ROM)",38.61,155.45,38,770,24.576677630685246
"HG Munsey (SCOT)",33.68,144.76,51,1117,24.426161764356003
"T Manders (BER)",34.4,124.93,17,413,24.19238602935319
"PV Vuniwaqa (Fiji)",33.66,154.43,16,327,24.025558593750002
"Luqman Butt (CAM)",36.44,138.68,22,473,23.531750000000002
"Virandeep Singh (MAS)",36.98,126.01,84,1937,23.49044866018069
"BA Pai (GIBR)",35.13,115.19,38,915,22.622171052236002
"MP O'Dowd (NED)",30.46,120.86,62,1462,22.301395161015748
"KS Leverock (BER)",33.68,148.76,29,566,22.25453448240475
"BN Cooper (NED)",35.54,130.11,28,601,22.222243303275626
"PR Surve (INA)",37.75,111.02,23,544,21.99208695648131
"TP Ura (PNG)",34.11,156.47,54,981,21.63877083253925
"R Sandaruwan (KUW)",29.9,149.15,65,1243,21.39991826914469
"NS Dhaliwal (CAN)",32.89,128.91,35,740,21.3807142848475
"DMW Rawlins (BER)",35.27,150.67,28,515,21.374799106146753
"NA Greenwood (JER)",30.89,144.4,31,599,21.169094757887816
"LA Dunbar (SRB)",35.57,133.63,28,559,21.112232142554998
"Chirag Suri (UAE)",29.77,116.86,30,688,21.01696666636119
"RD Berrington (SCOT)",34.94,136.3,51,1000,20.985294117374252
"N Nipiko (VAN)",31.24,118.77,39,868,20.866775640641
"Mohammad Ihsan (ESP)",35.12,157.86,21,356,20.446690475731
"Dylan Steyn (CZK-R)",27.04,132.4,21,429,20.357071428002
"Abdul Waheed (KSA)",32.96,126.95,37,753,20.339903715865063
"IA Karim (KENYA)",42.14,104.33,51,1131,20.30117279390225
"P Khadka (NEP)",29.63,143.25,21,393,20.220785713976998
"L Bruce (GIBR)",29.25,113.83,41,925,20.175152438348245
"K Motlhanka (BOT)",29.11,111.23,39,890,20.016442307242503
"SJ Baard (NAM)",28.56,112.97,28,632,19.965839285335186
"F Damiao Couana (MOZ)",29.34,124.05,33,686,19.929079544612062
"NG Collins (FIN)",26.26,98.69,24,612,19.91390625
"JW Jenner (JER)",31.41,138.19,50,932,19.7584
"Faisal Khan (KSA)",30.66,166.72,38,607,19.70553618356125
"Razmal Shigiwal (Aut)",33,136.55,39,725,19.69931890946844
"S Ssesazi (UGA)",29.72,123.2,82,1689,19.686118901856254
"CO Obuya (KENYA)",30.87,123.87,49,997,19.678033162771875
"Aqib Ilyas (OMA)",29.33,125.43,45,912,19.602933332688497
"N Davin (NAM)",27.53,138.95,34,634,19.402264705331497
"DS Airee (NEP)",36.56,143.51,68,1172,19.397246322801184
"Syed Aziz (MAS)",31.27,143.67,90,1589,19.304143054948124
"H Lakov (BUL)",31.73,105.22,35,784,19.173
"Babar Hayat (HKG)",30.42,135.41,55,1011,19.051605680970187
"MG Erasmus (NAM)",32.84,123.06,62,1201,18.874586692636875
"HS Gericke (MLT)",27.05,163.93,21,330,18.756964285373254
"Anshuman Rath (HKG)",27.75,119.35,32,651,18.70353515625
"KJ Stagno (GIBR)",27.95,175.21,24,351,18.570093749999998
"AR Patwa (TAN)",26.72,121.47,52,1034,18.4168822109685
"J Butler (GUE)",28.13,109.23,35,747,18.322842856407
"CG Williams (NAM)",27.75,112.9,35,713,17.90775892819469
"J Bulele (MOZ)",24.48,93.57,27,654,17.871458333169375
"K Bhurtel (NEP)",26.32,127.04,48,891,17.79215625
"MWR Stokes (GUE)",34.5,118.45,38,699,17.584218749899375
"A Sharafu (UAE)",33,139.83,29,472,17.58098275757775
"SKS Gill (LUX)",24.33,101.07,29,650,17.56681034447625
"NR Kirton (CAN)",28.77,116.66,23,444,17.546445652094878
"Meet Bhavsar (KUW)",27.32,132.36,59,1032,17.456542372153997
"Asif Khan (UAE)",28.52,138.97,26,431,17.35293028749525
"Kamran Khan (QAT)",25.48,136.08,36,618,17.3340416659935
"IA De Silva (BUL)",24.84,115.21,35,690,17.256160714035623
"Aasif Sheikh (NEP)",23.85,116.28,49,964,17.230270407501937
"V Aravind (UAE)",27.68,112.39,48,936,17.07103125
"S Chandramohan (SGP)",25.75,121.1,47,872,17.028351063497812
"AM Tribe (JER)",26.66,125,25,448,16.985920000000004
"Muhammad Muneeb (Belg)",23.9,118.12,32,607,16.837136718750003
"RK Paudel (NEP)",27.51,121.2,54,976,16.798722222153373
"S Ravichandran (JPN)",25.84,136.03,30,494,16.659120832658875
"Jatinder Singh (OMA)",26.41,122.84,41,731,16.63136432863125
"G Malla (NEP)",26.66,125.43,33,574,16.534026514258564
"II Selemani (TAN)",24.58,148.07,63,963,16.494241070657807
"Nizakat Khan (HKG)",24.28,123.69,76,1355,16.488433387768502
"MJ Richardson (GER)",30.05,103.86,25,492,16.47093
"Manpreet Singh (SGP)",25.08,127.8,40,687,16.410712500000002
"A Ashokan (CZK-R)",27.29,112.93,31,580,16.396693548076122
"Riazat Ali Shah (UGA)",32.33,120.78,61,1044,16.377749999654874
"VB Chikkannaiah (GER)",23,100.7,27,571,16.3501620369225
"CS MacLeod (SCOT)",26.5,115,30,553,16.301979166371876
"S Wickramasekara (CZK-R)",27.7,149.89,34,499,16.28996507326825
"VP Thamotharam (MLT)",26.86,146.54,55,825,16.256249999999998
"Aritra Dutta (SGP)",22.36,137,25,408,16.254720000000002
"Shaheryar Butt (Belg)",29.1,139.31,38,585,16.203922697257628
"Zeeshan Khan (MLT)",22.85,120.59,43,777,16.1995465108565
"TC Barker (LUX)",22.41,120.71,40,724,16.190450000000002
"Imran Ali Butt (BHR)",23.72,99.23,25,526,16.167925
"D Doyle-Calle (ESP)",26.66,131.68,30,486,16.031924999999998
"A Vala (PNG)",26.39,121.78,54,932,15.98315277753769
"HL Carlyon (JER)",22.67,121.77,39,689,15.9485833327315
"Yasir Ali (ESP)",26.96,100.26,38,753,15.756029604719123
